# {"t_start": 1677959558.753393, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,176,0.725731
0.0,125,1.239319
3.0,248,2.30615
2.0,222,3.258444
1.0,171,3.970128
2.0,198,4.799897
0.0,123,5.295153
