# {"t_start": 1677959558.815115, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
2.0,229,0.90454
0.0,127,1.469386
1.0,155,2.07449
1.0,176,2.802386
1.0,175,3.552544
0.0,129,4.075707
1.0,173,4.784654
0.0,129,5.30308
