# {"t_start": 1677959558.7998059, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,175,0.66597
1.0,170,1.415867
0.0,127,1.901695
2.0,201,2.748188
1.0,173,3.47659
0.0,129,4.004664
0.0,127,4.522121
