# {"t_start": 1677959558.741858, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,129,0.538181
0.0,127,1.035466
2.0,226,2.007722
0.0,129,2.531475
0.0,127,3.044224
0.0,127,3.565198
2.0,219,4.489085
0.0,123,4.982079
