# {"t_start": 1677959558.8081338, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,123,0.440086
2.0,203,1.314289
2.0,202,2.164517
1.0,177,2.893318
1.0,153,3.53625
1.0,175,4.261045
1.0,177,5.01668
