# {"t_start": 1677959558.792711, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
2.0,200,0.790215
0.0,127,1.343956
0.0,125,1.815902
1.0,175,2.555802
0.0,127,3.082483
0.0,129,3.622622
2.0,206,4.47092
0.0,127,4.986631
