# {"t_start": 1677959558.758307, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
2.0,200,0.825024
0.0,125,1.350584
1.0,176,2.081215
0.0,129,2.613319
0.0,123,3.102559
0.0,127,3.636513
0.0,123,4.112604
1.0,175,4.841061
